"Serial_Number", "User_ID", "Main_Content", "Time", "Max_Word_Indicator"
"Gossiping#M.1561349958.A.CE1#00011", "zold", "不要用言論自由的藉口來行統戰的手法！荷蘭跳板五毛～～～～～好煩 ！～～～中國人沒有權力談論言論自由～～～", "49.216.244.223 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00012", "headcase", "匪報怕了XDDDDDDDDD", "39.8.66.173 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00013", "chimori", "滾!", "59.124.228.82 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00014", "cerpherus", "禁你剛好而已", "101.12.198.150 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00015", "chumichumi", "畜報連發", "60.250.23.163 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00016", "u8809048", "五毛", "27.52.62.176 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00017", "k12551", "狗報掰掰", "111.248.192.38 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00018", "worldtree", "狗報瘋狂吠耶", "101.13.195.88 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00019", "demodemo", "狗報又在吠了", "111.83.172.248 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00020", "davidhsu", "你知道自己在PO甚麼東西嗎?", "117.56.41.103 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00021", "jinshiG", "緑蛆萬歲", "23.120.254.151 06/24 12:20", "0"
"Gossiping#M.1561349958.A.CE1#00022", "jma306", "遊行是小綠獨主謀的，不是蔡英文主謀", "223.141.233.46 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00023", "minami77", "紅媒是中國要消滅中華民國主權的工具", "223.137.95.221 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00024", "wwvvkai", "荷蘭", "220.130.184.207 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00025", "iamjojo", "這些跳板的言論真的很噁", "60.251.48.67 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00026", "happinessi", "狗報死全家", "223.137.119.20 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00027", "tonytony0628", "北7 只有中共同路人會靠么兒已", "114.36.85.16 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00028", "murray", "荷蘭的朋友你好啊", "60.251.182.146 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00029", "foxtails", "下去領5毛", "42.72.239.47 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00030", "niko0202", "垃圾屎霉", "42.72.133.100 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00031", "ndd2", "中時給紅", "49.217.128.24 06/24 12:21", "0"
"Gossiping#M.1561349958.A.CE1#00032", "leon82guy", "如果走回戒嚴中時狗報的人早就被抄家了好嗎==", "42.76.222.97 06/24 12:22", "1"
"Gossiping#M.1561349958.A.CE1#00033", "koi33000", "狗報很急 好幾篇連發", "49.217.66.142 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00034", "cwj9999", "狗報", "42.77.232.5 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00035", "MADAOTW", "沒人管制你的言論問題是你通匪", "203.71.94.13 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00036", "legendmtg", "狗報快去吃屎", "202.246.252.97 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00037", "homeyheaven", "荷蘭....", "211.75.64.214 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00038", "dan5209", "宗教也是一樣啊 打壓閩南人的信仰，推動減香 然後還一直去參拜個人認為 她是去視察減香有沒有落實吧?", "217.146.13.86 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00039", "abcyting", "中時", "49.159.255.210 06/24 12:22", "0"
"Gossiping#M.1561349958.A.CE1#00040", "if2", "你鼓吹的一國兩制不也是讓台灣走回戒嚴言論", "42.72.140.202 06/24 12:22", "1"
"Gossiping#M.1561349958.A.CE1#00041", "sam5257", "這國家安全問題", "114.137.197.244 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00042", "flybirdy", "今天中字輩的好凶", "223.139.169.214 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00043", "ccucwc", "我才要批蔡英文怎麼不趕快把統媒抄家！", "49.129.185.214 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00044", "zold", "中國三大問題： 言論 媒體 宗教 自由", "49.216.244.223 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00045", "hyperjynx", "狗急跳牆隨意攀咬", "36.230.72.111 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00046", "cschuan", "柯粉怎麼不出來酸蔡收割XDD", "202.89.121.108 06/24 12:23", "0"
"Gossiping#M.1561349958.A.CE1#00047", "bimmers0", "民進黨不出力中共第五縱隊才是愧對國人！*不處理中共第五縱隊，當然不允許有分化顛覆台", "172.58.17.215 06/24 12:23", "1"
"Gossiping#M.1561349958.A.CE1#00048", "lturtsamuel", "搞白色恐怖的政黨 用坦克輾人民的政黨 聯手罵人戒嚴", "117.19.148.141 06/24 12:24", "1"
"Gossiping#M.1561349958.A.CE1#00049", "delnet", "狗報狂叫", "27.246.33.32 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00050", "hooniya", "言論自由跟假新聞分不清楚欸 好好笑哦，那還當什麼記者", "59.115.106.184 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00051", "pippen456", "旺旺真的怕了", "60.248.162.7 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00052", "demitri", "DPp啥都還沒做你們就在叫了", "104.32.187.152 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00053", "tribu", "荒謬", "114.136.67.168 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00054", "yathgu", "紅媒會跳腳 就表示昨天的活動辦對了", "175.181.244.95 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00055", "dan5209", "然後推動轉型正義 打壓閩南人 外省人，我個人認識的 客家 原民朋友都支持她閩南人 外省人 朋友都不支持她", "217.146.13.86 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00056", "alonelykid", "一搜全部都是狗報的在靠北", "42.75.11.249 06/24 12:24", "0"
"Gossiping#M.1561349958.A.CE1#00057", "userpeter", "中國時報還不學乖... 呵呵呵", "180.177.56.101 06/24 12:24", "1"
"Gossiping#M.1561349958.A.CE1#00058", "bimmers0", "灣的自由！共狗閉嘴，等著北關吧紅莓，只是中共入侵台灣的先頭部隊，根本不是正常媒體，別受騙！", "172.58.17.215 06/24 12:25", "0"
"Gossiping#M.1561349958.A.CE1#00059", "kbh072019", "中時吠起來", "42.73.34.162 06/24 12:25", "0"
"Gossiping#M.1561349958.A.CE1#00060", "kosuke", "一直鼓吹共匪的媒體有臉談言論管制喔", "36.225.185.75 06/24 12:25", "0"
"Gossiping#M.1561349958.A.CE1#00061", "singking", "這報不是說台灣太自由了嗎", "210.61.199.38 06/24 12:25", "0"
"Gossiping#M.1561349958.A.CE1#00062", "koflll", "這個叫戒嚴 那我看現在美國跟澳洲都算是國家安全問題扯到戒嚴  中時下限真無極限", "123.240.13.211 06/24 12:25", "1"
"Gossiping#M.1561349958.A.CE1#00063", "excia", "回戒嚴時代 旺中從蔡衍明到所有記者都會被槍斃", "180.217.86.222 06/24 12:25", "1"
"Gossiping#M.1561349958.A.CE1#00064", "zold", "蔡英文做了沒？ 這活動她發起的？ 很急啊", "49.216.244.223 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00065", "mrlinwng", "假新聞就是造謠 還敢要求自由", "114.39.9.149 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00066", "Kaskade", "中國人吃習近平屎長大", "223.140.48.110 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00067", "GreenChen333", "真走回戒嚴，還有這篇報導與貼文？笑話！", "203.69.189.13 06/24 12:26", "1"
"Gossiping#M.1561349958.A.CE1#00068", "aqsss", "假新聞還有資格說言論自由?", "140.112.125.206 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00069", "newyanew", "講幹話都下地獄 生孩子沒屁眼 死全家", "42.76.11.204 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00070", "Edison1174", "中國共產黨的言論自由怎麼不敢批評？", "223.136.166.121 06/24 12:26", "1"
"Gossiping#M.1561349958.A.CE1#00071", "seel", "中時", "101.12.163.140 06/24 12:26", "0"
"Gossiping#M.1561349958.A.CE1#00072", "bimmers0", "消滅紅莓，打擊共狗，人人有責，台灣自廢武功，容忍共軍第五縱隊搞爛台灣，才是國際笑話。", "172.58.17.215 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00073", "chenyei", "等你回國再來討論", "223.139.175.75 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00074", "martinshih", "汪汪汪", "27.246.62.119 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00075", "koflll", "中國共產黨天眼監控 手機盤查程度怎麼不嘴", "123.240.13.211 06/24 12:27", "1"
"Gossiping#M.1561349958.A.CE1#00076", "DOOHDLIHC", "對中共這種吃屎雜碎，鞭屍都還算客氣", "125.231.132.228 06/24 12:27", "1"
"Gossiping#M.1561349958.A.CE1#00077", "s155260", "中時卯起來紅", "223.136.94.254 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00078", "asnakep", "滾啦", "159.89.195.178 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00079", "chris2246", "共產滾啦", "101.12.137.144 06/24 12:27", "0"
"Gossiping#M.1561349958.A.CE1#00080", "mozi", "言論自由哪時候包含叛國跟通匪......", "114.137.96.205 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00081", "stewartqq", "戒嚴的話你們舔共的早被槍斃了吧@@"", "218.211.194.60 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00082", "pavacana", "整天舔共唱衰台灣的媒體", "114.42.99.198 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00083", "DouglasT", "荷蘭五毛？", "140.109.189.169 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00084", "ionchips", "自己刪六四歷史還有臉批  噁心", "223.136.138.163 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00085", "jack19931993", "汪", "150.116.50.108 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00086", "ihaji", "戒嚴 有死人的，現在有嗎？", "180.217.169.202 06/24 12:28", "0"
"Gossiping#M.1561349958.A.CE1#00087", "Daz2005i", "還來啊 紅媒，中共現在就在管制言論 紅莓怎麼都不吠?", "61.216.8.211 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00088", "SSCSFE", "荷蘭仔", "101.12.226.40 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00089", "bimmers0", "打倒這些中共代理人！", "172.58.17.215 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00090", "KeynesGG", "慢慢走向戒嚴專制 溫水煮蠢覺青", "115.82.131.4 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00091", "philip0705", "狗報", "180.217.220.207 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00092", "ikai99", "狗報慌了", "110.50.157.125 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00093", "abc5555590", "支那屎報", "180.204.69.37 06/24 12:29", "0"
"Gossiping#M.1561349958.A.CE1#00094", "cheaptool", "ptt真的是國際大論壇，荷蘭的朋友你好", "42.74.217.149 06/24 12:29", "1"
"Gossiping#M.1561349958.A.CE1#00095", "Adwin", "靠，垃圾媒體", "49.218.4.39 06/24 12:30", "0"
"Gossiping#M.1561349958.A.CE1#00096", "ZXKUQYB", "荷蘭?????? XDDDDDDDDDDDDDDDDDDDDDDDDDD", "111.71.76.69 06/24 12:30", "1"
"Gossiping#M.1561349958.A.CE1#00097", "holykaoo", "汪汪叫", "223.136.55.9 06/24 12:30", "0"
"Gossiping#M.1561349958.A.CE1#00098", "gedicht", "國民黨跟共媒站在一起囉", "140.122.228.123 06/24 12:30", "0"
"Gossiping#M.1561349958.A.CE1#00099", "jack8759", ".....", "114.25.192.12 06/24 12:30", "0"
"Gossiping#M.1561349958.A.CE1#00100", "v64kiu78", "到底在公三小", "122.117.25.105 06/24 12:30", "0"
"Gossiping#M.1561349958.A.CE1#00101", "tonywiner", "假新聞還敢要求言論自由? 一句話 噁心", "210.69.40.253 06/24 12:31", "1"
"Gossiping#M.1561349958.A.CE1#00102", "fiona65", "滾回對岸", "111.83.218.164 06/24 12:31", "0"
"Gossiping#M.1561349958.A.CE1#00103", "bimmers0", "台灣縱容中共紅莓撒野，只會慢慢走向滅亡中共的狗，滾！保家衛國，消滅共狗，剷除紅莓，人人有責！", "172.58.17.215 06/24 12:32", "1"
"Gossiping#M.1561349958.A.CE1#00104", "inmatao", "6/24後五毛、9.2大湧出耶", "122.146.94.178 06/24 12:32", "0"
"Gossiping#M.1561349958.A.CE1#00105", "Proteiner", "推", "110.28.73.29 06/24 12:32", "0"
"Gossiping#M.1561349958.A.CE1#00106", "gankgf", "幹你娘垃圾", "110.26.194.109 06/24 12:32", "0"
"Gossiping#M.1561349958.A.CE1#00107", "Newschool", "狗報好意思吠?", "59.124.166.19 06/24 12:32", "0"
"Gossiping#M.1561349958.A.CE1#00108", "shunchao", "..", "125.227.8.176 06/24 12:32", "0"
"Gossiping#M.1561349958.A.CE1#00109", "dostey", "台灣縱容中共紅莓撒野，只會慢慢走向滅", "124.218.49.54 06/24 12:33", "0"
"Gossiping#M.1561349958.A.CE1#00110", "popy8789", "狗報", "223.137.45.45 06/24 12:33", "0"
"Gossiping#M.1561349958.A.CE1#00111", "jiunyee", "媒體巨獸又出動了", "123.205.57.205 06/24 12:33", "0"
"Gossiping#M.1561349958.A.CE1#00112", "TOTnice", "狗報滾拉", "36.239.97.40 06/24 12:34", "0"
"Gossiping#M.1561349958.A.CE1#00113", "sam0459", "季節寫的東西就不用看了", "111.71.121.145 06/24 12:34", "0"
"Gossiping#M.1561349958.A.CE1#00114", "doubleperson", "用言論自由來埋藏未來言論自由的是中天中時", "42.76.97.59 06/24 12:34", "1"
"Gossiping#M.1561349958.A.CE1#00115", "lovejamwu", "這家可恥!", "1.163.123.80 06/24 12:34", "0"
"Gossiping#M.1561349958.A.CE1#00116", "tombee", "好了啦 要關了沒", "59.120.221.139 06/24 12:35", "0"
"Gossiping#M.1561349958.A.CE1#00117", "bimmers0", "紅莓，警示中共侵台先頭部隊！不服來辯！*就是中你吃台灣米和台灣水領台灣錢，卻甘為中共搞死台灣，人神共憤！", "172.58.17.215 06/24 12:35", "1"
"Gossiping#M.1561349958.A.CE1#00118", "fifi0828", "一堆媒體去聽汪洋放屁 如果是戒嚴時代全部都拖去槍斃了", "223.136.22.159 06/24 12:35", "1"
"Gossiping#M.1561349958.A.CE1#00119", "analogdesign", "旺中走狗全部準備失業吧", "36.227.93.194 06/24 12:35", "0"
"Gossiping#M.1561349958.A.CE1#00120", "AWPER", "好玩嗎", "42.76.29.46 06/24 12:35", "0"
"Gossiping#M.1561349958.A.CE1#00121", "smdmaps", "還在洗", "67.162.230.103 06/24 12:36", "0"
"Gossiping#M.1561349958.A.CE1#00122", "billionaire", "中時該滾出台灣", "115.82.64.206 06/24 12:36", "0"
"Gossiping#M.1561349958.A.CE1#00123", "pkd20", "支持中時去中國辦報", "42.73.252.100 06/24 12:36", "0"
"Gossiping#M.1561349958.A.CE1#00124", "bhirava2014", "支那時報會怕齁", "180.217.182.4 06/24 12:37", "0"
"Gossiping#M.1561349958.A.CE1#00125", "bimmers0", "這不是叛國，啥才是叛國！紅莓整天叫囂要台灣人自廢武功讓中共強姦，幹！", "172.58.17.215 06/24 12:37", "0"
"Gossiping#M.1561349958.A.CE1#00126", "harryami", "荷蘭朋友真關心 台灣政治", "42.77.2.49 06/24 12:37", "0"
"Gossiping#M.1561349958.A.CE1#00127", "Shakerzero", "誓死捍衛遮蔽新聞的新聞自由", "60.248.58.61 06/24 12:38", "0"
"Gossiping#M.1561349958.A.CE1#00128", "HowieH", "汪汪", "114.137.186.235 06/24 12:38", "0"
"Gossiping#M.1561349958.A.CE1#00129", "Visnjic", "滾", "118.169.44.182 06/24 12:38", "0"
"Gossiping#M.1561349958.A.CE1#00130", "chrome", "中資媒體不配擁有新聞自由", "42.77.135.203 06/24 12:38", "0"
"Gossiping#M.1561349958.A.CE1#00131", "olderhu", "噓荷蘭，...按錯惹QQ 誰快來補個噓", "27.52.62.162 06/24 12:39", "0"
"Gossiping#M.1561349958.A.CE1#00132", "Bigbotin", "靠背三小，噓回來補噓", "42.77.135.180 06/24 12:39", "0"
"Gossiping#M.1561349958.A.CE1#00133", "sasori1027", "幹你娘", "1.168.84.154 06/24 12:40", "0"
"Gossiping#M.1561349958.A.CE1#00134", "bimmers0", "整天配合中共分化顛覆台灣，你跟我講言論自由？！甲賽啦！這不是黨派鬥爭，是國家存亡的問題！", "172.58.17.215 06/24 12:40", "1"
"Gossiping#M.1561349958.A.CE1#00135", "kmchen", "滾", "114.42.11.20 06/24 12:41", "0"
"Gossiping#M.1561349958.A.CE1#00136", "berneytw", "噁", "220.133.250.50 06/24 12:41", "0"
"Gossiping#M.1561349958.A.CE1#00137", "BaGaJohn5566", "幹妳媽", "39.12.235.139 06/24 12:41", "0"
"Gossiping#M.1561349958.A.CE1#00138", "kixer2005", "吃屎", "180.217.78.119 06/24 12:42", "0"
"Gossiping#M.1561349958.A.CE1#00139", "kawapa", "中天主子中國不也是專制 爽啊", "49.214.130.218 06/24 12:42", "0"
"Gossiping#M.1561349958.A.CE1#00140", "bimmers0", "管你G8啥顏色，現在是要消滅中共先頭部隊，保障國家安全！", "172.58.17.215 06/24 12:42", "1"
"Gossiping#M.1561349958.A.CE1#00141", "hesashiaaron", "又還沒關，是在靠北三小", "223.137.69.67 06/24 12:43", "0"
"Gossiping#M.1561349958.A.CE1#00142", "WeGoYuSheng", "，", "115.82.236.244 06/24 12:43", "0"
"Gossiping#M.1561349958.A.CE1#00143", "SakuraNya", "不是老人最愛的戒嚴時代嗎？？", "39.8.100.152 06/24 12:44", "0"
"Gossiping#M.1561349958.A.CE1#00144", "Dryad", "我說64呢？人民有知的權利?64怎麼不見了?", "223.137.135.85 06/24 12:44", "1"
"Gossiping#M.1561349958.A.CE1#00145", "bimmers0", "小心防範中共伎倆，我們當兵都有在教阿今天縱容紅莓惡搞台灣，明天就變海上漂流的難民！", "172.58.17.215 06/24 12:44", "1"
"Gossiping#M.1561349958.A.CE1#00146", "K999", "623就是在反你", "61.227.0.136 06/24 12:44", "0"
"Gossiping#M.1561349958.A.CE1#00147", "polo5615", "三更半夜不睡覺 關心中時 慘", "39.10.202.247 06/24 12:44", "0"
"Gossiping#M.1561349958.A.CE1#00148", "oldmangoes", "綠共啊！", "101.12.8.245 06/24 12:44", "0"
"Gossiping#M.1561349958.A.CE1#00149", "remsuki", "明年就讓你們下去", "42.77.226.242 06/24 12:45", "0"
"Gossiping#M.1561349958.A.CE1#00150", "mikefan12", "荷蘭五毛想干政喔", "223.136.117.202 06/24 12:46", "0"
"Gossiping#M.1561349958.A.CE1#00151", "SansSouci", "荷蘭", "223.140.139.24 06/24 12:46", "0"
"Gossiping#M.1561349958.A.CE1#00152", "linbsing", "匪媒滾啦 別來亂台 幹 垃圾", "180.217.98.60 06/24 12:47", "0"
"Gossiping#M.1561349958.A.CE1#00153", "papaganono", "習近平死全家", "117.19.141.45 06/24 12:48", "0"
"Gossiping#M.1561349958.A.CE1#00154", "tilamisudog", "戒嚴時期早把你中天拉去槍斃了", "223.141.123.87 06/24 12:48", "0"
"Gossiping#M.1561349958.A.CE1#00155", "k5365000", "到底中時一天要幾篇文啊....", "39.10.164.131 06/24 12:48", "0"
"Gossiping#M.1561349958.A.CE1#00156", "LargeLanPa", "跳板仔滾", "112.104.174.170 06/24 12:49", "0"
"Gossiping#M.1561349958.A.CE1#00157", "malisse74", "哈哈哈哈哈哈 這完全是顛倒是非了", "61.216.57.1 06/24 12:49", "0"
"Gossiping#M.1561349958.A.CE1#00158", "same01216", "狗報吃屎", "60.249.215.135 06/24 12:50", "0"
"Gossiping#M.1561349958.A.CE1#00159", "kirbycopy", "看標題太扯了 忍不住來噓了", "125.227.149.215 06/24 12:50", "0"
"Gossiping#M.1561349958.A.CE1#00160", "linbsing", "到底狗報要造謠幾次才能禁啦 幹", "180.217.98.60 06/24 12:50", "0"
"Gossiping#M.1561349958.A.CE1#00161", "ericbobo11", "到底懂不懂什麼是戒嚴阿？", "111.71.37.52 06/24 12:50", "0"
"Gossiping#M.1561349958.A.CE1#00162", "gaddafi", "萬惡共匪 中國共產黨 幹恁娘機掰", "111.241.215.216 06/24 12:52", "0"
"Gossiping#M.1561349958.A.CE1#00163", "sjlee1127", "垃圾支那", "223.137.37.39 06/24 12:52", "0"
"Gossiping#M.1561349958.A.CE1#00164", "a5413eric", "可憐爛媒", "106.104.171.70 06/24 12:53", "0"
"Gossiping#M.1561349958.A.CE1#00165", "fmradio", "假新聞要被關喔", "114.137.226.160 06/24 12:53", "0"
"Gossiping#M.1561349958.A.CE1#00166", "berneytw", "呵呵 汪汪", "220.133.250.50 06/24 12:53", "0"
"Gossiping#M.1561349958.A.CE1#00167", "funnyrain", "戒嚴時期 通匪是要槍斃的 北七", "122.117.236.77 06/24 12:54", "0"
"Gossiping#M.1561349958.A.CE1#00168", "gaddafi", "垃圾台奸 無恥賣國賊 汪洋摸頭的滯台賤畜", "111.241.215.216 06/24 12:55", "1"
"Gossiping#M.1561349958.A.CE1#00169", "Beccaria", "這種水準都不害躁，果然無知最有勇氣", "175.96.82.145 06/24 12:55", "0"
"Gossiping#M.1561349958.A.CE1#00170", "iphone12", "還在崩潰言論自由", "101.13.76.86 06/24 12:56", "0"
"Gossiping#M.1561349958.A.CE1#00171", "s72005ming", "中時不意外", "111.71.64.235 06/24 12:56", "0"
"Gossiping#M.1561349958.A.CE1#00172", "ytw8216", "淦林涼 戒嚴時期你們早被斃了", "39.8.35.186 06/24 12:56", "0"
"Gossiping#M.1561349958.A.CE1#00173", "Fongin", "https//youtu.be/0kooWOk-xDA，https//youtu.be/bzxI1imf9ro", "49.214.132.26 06/24 12:57", "0"
"Gossiping#M.1561349958.A.CE1#00174", "gaddafi", "絕對要把習近平這畜牲碎屍萬段 挫骨揚灰", "111.241.215.216 06/24 12:57", "1"
"Gossiping#M.1561349958.A.CE1#00175", "xanthippe", "二條一死刑聽過沒？還戒嚴咧", "140.130.169.61 06/24 12:58", "0"
"Gossiping#M.1561349958.A.CE1#00176", "phenix1014", "正常發揮", "223.136.156.176 06/24 12:58", "0"
"Gossiping#M.1561349958.A.CE1#00177", "gh34163", "幹你娘 兩蔣還在你們早被槍斃了", "140.109.103.227 06/24 12:59", "0"
"Gossiping#M.1561349958.A.CE1#00178", "BJC4100", "STFU426", "67.164.37.70 06/24 13:00", "0"
"Gossiping#M.1561349958.A.CE1#00179", "kuzmamba", "垃圾滾", "36.228.156.85 06/24 13:00", "0"
"Gossiping#M.1561349958.A.CE1#00180", "Dayton", "中時為沒有言論自由的中共當大聲公 幹", "39.8.192.208 06/24 13:01", "0"
"Gossiping#M.1561349958.A.CE1#00181", "leoheart1686", "426", "119.241.52.147 06/24 13:01", "0"
"Gossiping#M.1561349958.A.CE1#00182", "poi963841", "滾開", "114.137.133.192 06/24 13:02", "0"
"Gossiping#M.1561349958.A.CE1#00183", "jdchbo", "撤照啦乾", "114.137.9.131 06/24 13:03", "0"
"Gossiping#M.1561349958.A.CE1#00184", "lmf770410", "中屎喜歡全世界最戒嚴的中共", "42.76.163.228 06/24 13:03", "0"
"Gossiping#M.1561349958.A.CE1#00185", "gordan123", "五毛怕失業，一張嘴亂噴，腦子壞了嗎？播64真相啊，怎麼不播呢？沒種是吧？", "111.249.36.96 06/24 13:04", "1"
"Gossiping#M.1561349958.A.CE1#00186", "giottolun", "反串失敗", "118.7.139.96 06/24 13:05", "0"
